ts_event,best_ofi,multi_ofi,integrated_ofi,cross_asset_ofi
2024-10-21T11:59:01.197013688Z,0,0.0,0.0,181
2024-10-21T11:59:01.308608556Z,0,0.0,0.0,-128
2024-10-21T11:59:01.341702894Z,0,-30.0,-0.0005216492735182253,153
2024-10-21T11:59:01.341757997Z,0,27.0,0.8639556865843286,-92
2024-10-21T11:59:01.498729008Z,0,200.0,0.005464897151143313,-189
2024-10-21T11:59:01.983695936Z,0,200.0,0.003477661823454836,294
2024-10-21T11:59:02.037392833Z,0,-200.0,-0.005464897151143313,46
2024-10-21T11:59:02.037405330Z,0,200.0,0.005464897151143313,-199
2024-10-21T11:59:02.587275146Z,0,200.0,0.005464897151143313,-743
2024-10-21T11:59:05.075636621Z,0,0.0,0.0,390
2024-10-21T11:59:05.075648273Z,0,0.0,0.0,77
2024-10-21T11:59:05.129969945Z,0,200.0,0.005464897151143313,-1199
2024-10-21T11:59:05.149534519Z,0,-27.0,-1.530435787663668,93
2024-10-21T11:59:05.149624943Z,0,27.0,1.0301010109274689,1205
2024-10-21T11:59:22.128191719Z,0,-37.0,-0.5682869191682911,-1000
2024-10-21T11:59:22.128203635Z,0,227.0,1.0355659080786122,-389
2024-10-21T11:59:22.227115805Z,0,200.0,0.005464897151143313,226
2024-10-21T11:59:22.702793943Z,0,-37.0,-0.5682869191682911,21
2024-10-21T11:59:22.702805375Z,0,227.0,1.0355659080786122,30
2024-10-21T11:59:22.748399070Z,0,0.0,0.0,49
2024-10-21T11:59:24.992210687Z,0,0.0,0.0,190
2024-10-21T11:59:29.283276904Z,0,0.0,0.0,181
2024-10-21T11:59:29.283287223Z,0,0.0,0.0,-4
2024-10-21T11:59:29.283298495Z,0,0.0,0.0,197
2024-10-21T11:59:29.341806485Z,0,0.0,0.0,182
2024-10-21T11:59:29.368105783Z,0,0.0,0.0,1195
2024-10-21T11:59:29.441553398Z,0,0.0,0.0,227
2024-10-21T11:59:29.441648558Z,0,0.0,0.0,11
2024-10-21T11:59:29.504292026Z,0,200.0,0.003477661823454836,178
2024-10-21T11:59:29.550327634Z,0,-200.0,-0.005464897151143313,389
2024-10-21T11:59:29.550340581Z,0,200.0,0.005464897151143313,-49
2024-10-21T11:59:30.102712999Z,0,0.0,0.0,1053
2024-10-21T11:59:30.102712999Z,-150,-575.0,-1.8660101932603383,121
